TR,SRC,GEO,MD,TVD,SD,PICK1,PICK2,RCX,RCY,TVDSD,SCX,SCY,SCD
223,9,23,5100,5100,10.00000032,0.68655,1.351467526,0,0,5090.000138,-1000,0,0.00013873
224,9,24,5150,5150,10.00000032,0.6931,1.364811402,0,0,5140.000138,-1000,0,0.00013873
225,9,25,5200,5200,10.00000032,0.69965,1.378150828,0,0,5190.000138,-1000,0,0.00013873
226,10,1,4000,4000,10.00000032,0.53165,1.059172047,0,0,3990.000138,-500,0,0.00013873
227,10,2,4050,4050,10.00000032,0.5383,1.072572029,0,0,4040.000138,-500,0,0.00013873
228,10,3,4100,4100,10.00000032,0.5449,1.085870384,0,0,4090.000138,-500,0,0.00013873
229,10,4,4150,4150,10.00000032,0.5515,1.099166419,0,0,4140.000138,-500,0,0.00013873
230,10,5,4200,4200,10.00000032,0.55815,1.11255951,0,0,4190.000138,-500,0,0.00013873
231,10,6,4250,4250,10.00000032,0.56475,1.12585116,0,0,4240.000138,-500,0,0.00013873
232,10,7,4300,4300,10.00000032,0.57135,1.139140719,0,0,4290.000138,-500,0,0.00013873
233,10,8,4350,4350,10.00000032,0.578,1.152527601,0,0,4340.000138,-500,0,0.00013873
234,10,9,4400,4400,10.00000032,0.5846,1.165813202,0,0,4390.000138,-500,0,0.00013873
235,10,10,4450,4450,10.00000032,0.59125,1.179196285,0,0,4440.000138,-500,0,0.00013873
236,10,11,4500,4500,10.00000032,0.59785,1.192478181,0,0,4490.000138,-500,0,0.00013873
237,10,12,4550,4550,10.00000032,0.6045,1.205857706,0,0,4540.000138,-500,0,0.00013873
238,10,13,4600,4600,10.00000032,0.6111,1.219136132,0,0,4590.000138,-500,0,0.00013873
239,10,14,4650,4650,10.00000032,0.61775,1.232512321,0,0,4640.000138,-500,0,0.00013873
240,10,15,4700,4700,10.00000032,0.62435,1.245787489,0,0,4690.000138,-500,0,0.00013873
241,10,16,4750,4750,10.00000032,0.631,1.259160546,0,0,4740.000138,-500,0,0.00013873
242,10,17,4800,4800,10.00000032,0.6376,1.272432655,0,0,4790.000138,-500,0,0.00013873
243,10,18,4850,4850,10.00000032,0.64425,1.285802768,0,0,4840.000138,-500,0,0.00013873
244,10,19,4900,4900,10.00000032,0.6509,1.299171479,0,0,4890.000138,-500,0,0.00013873
245,10,20,4950,4950,10.00000032,0.6575,1.312439339,0,0,4940.000138,-500,0,0.00013873
246,10,21,5000,5000,10.00000032,0.66415,1.325805361,0,0,4990.000138,-500,0,0.00013873
247,10,22,5050,5050,10.00000032,0.67075,1.339070589,0,0,5040.000138,-500,0,0.00013873
248,10,23,5100,5100,10.00000032,0.6774,1.352434074,0,0,5090.000138,-500,0,0.00013873
249,10,24,5150,5150,10.00000032,0.68405,1.36579635,0,0,5140.000138,-500,0,0.00013873
250,10,25,5200,5200,10.00000032,0.69065,1.379057911,0,0,5190.000138,-500,0,0.00013873
251,11,1,4000,4000,10.00000032,0.5277,1.059523711,0,0,3990.000138,0,0,0.00013873
252,11,2,4050,4050,10.00000032,0.53435,1.072823711,0,0,4040.000138,0,0,0.00013873
253,11,3,4100,4100,10.00000032,0.54105,1.086223711,0,0,4090.000138,0,0,0.00013873
254,11,4,4150,4150,10.00000032,0.5477,1.099523711,0,0,4140.000138,0,0,0.00013873
255,11,5,4200,4200,10.00000032,0.55435,1.112823711,0,0,4190.000138,0,0,0.00013873
256,11,6,4250,4250,10.00000032,0.561,1.126123711,0,0,4240.000138,0,0,0.00013873
257,11,7,4300,4300,10.00000032,0.5677,1.139523711,0,0,4290.000138,0,0,0.00013873
258,11,8,4350,4350,10.00000032,0.57435,1.152823711,0,0,4340.000138,0,0,0.00013873
259,11,9,4400,4400,10.00000032,0.581,1.166123711,0,0,4390.000138,0,0,0.00013873
260,11,10,4450,4450,10.00000032,0.58765,1.179423711,0,0,4440.000138,0,0,0.00013873
